cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
repetido,grande,50000,Selection Sort,2,224.581232,1249975000,0,1,ok
repetido,grande,50000,Shell Sort,2,0.094428,455719,0,1,ok
repetido,grande,50000,Merge Sort,2,0.197900,413984,417488,1,ok
repetido,grande,50000,Quick Sort,2,0.014042,50002,1,1,ok
repetido,grande,50000,Radix Sort,2,0.155954,49999,650000,1,ok
repetido,grande,50000,Insertion Sort,3,0.011370,49999,0,1,ok
repetido,grande,50000,Selection Sort,3,224.990203,1249975000,0,1,ok
repetido,grande,50000,Shell Sort,3,0.097062,455719,0,1,ok
repetido,grande,50000,Merge Sort,3,0.207022,413984,417488,1,ok
repetido,grande,50000,Quick Sort,3,0.014066,50002,1,1,ok
repetido,grande,50000,Radix Sort,3,0.157349,49999,650000,1,ok
vazia,pequena,0,Insertion Sort,1,0.000068,0,0,1,ok
vazia,pequena,0,Selection Sort,1,0.000015,0,0,1,ok
vazia,pequena,0,Shell Sort,1,0.000011,0,0,1,ok
vazia,pequena,0,Merge Sort,1,0.000009,0,0,1,ok
vazia,pequena,0,Quick Sort,1,0.000008,0,0,1,ok
vazia,pequena,0,Radix Sort,1,0.000008,0,0,1,ok
vazia,pequena,0,Insertion Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Selection Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Shell Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Merge Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Quick Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Radix Sort,2,0.000008,0,0,1,ok
vazia,pequena,0,Insertion Sort,3,0.000009,0,0,1,ok
vazia,pequena,0,Selection Sort,3,0.000009,0,0,1,ok
vazia,pequena,0,Shell Sort,3,0.000008,0,0,1,ok
vazia,pequena,0,Merge Sort,3,0.000008,0,0,1,ok
vazia,pequena,0,Quick Sort,3,0.000008,0,0,1,ok
vazia,pequena,0,Radix Sort,3,0.000007,0,0,1,ok
um item,pequena,1,Insertion Sort,1,0.000013,0,0,1,ok
um item,pequena,1,Selection Sort,1,0.000009,0,0,1,ok
um item,pequena,1,Shell Sort,1,0.000008,0,0,1,ok
um item,pequena,1,Merge Sort,1,0.000008,0,0,1,ok
um item,pequena,1,Quick Sort,1,0.000010,0,0,1,ok
um item,pequena,1,Radix Sort,1,0.000009,0,0,1,ok
um item,pequena,1,Insertion Sort,2,0.000013,0,0,1,ok
um item,pequena,1,Selection Sort,2,0.000010,0,0,1,ok
um item,pequena,1,Shell Sort,2,0.000008,0,0,1,ok
um item,pequena,1,Merge Sort,2,0.000008,0,0,1,ok
um item,pequena,1,Quick Sort,2,0.000007,0,0,1,ok
um item,pequena,1,Radix Sort,2,0.000008,0,0,1,ok
um item,pequena,1,Insertion Sort,3,0.000009,0,0,1,ok
um item,pequena,1,Selection Sort,3,0.000008,0,0,1,ok
um item,pequena,1,Shell Sort,3,0.000007,0,0,1,ok
um item,pequena,1,Merge Sort,3,0.000008,0,0,1,ok
um item,pequena,1,Quick Sort,3,0.000007,0,0,1,ok
um item,pequena,1,Radix Sort,3,0.000007,0,0,1,ok
muitos repetidos,pequena,1000,Insertion Sort,1,0.070135,230253,229256,1,ok
muitos repetidos,pequena,1000,Selection Sort,1,0.096647,499500,888,1,ok
muitos repetidos,pequena,1000,Shell Sort,1,0.002210,8219,3103,1,ok
muitos repetidos,pequena,1000,Merge Sort,1,0.003741,8512,8991,1,ok
muitos repetidos,pequena,1000,Quick Sort,1,0.001559,3357,2347,1,ok
muitos repetidos,pequena,1000,Radix Sort,1,0.003148,999,13000,1,ok
muitos repetidos,pequena,1000,Insertion Sort,2,0.064562,219181,218184,1,ok
muitos repetidos,pequena,1000,Selection Sort,2,0.089891,499500,894,1,ok
muitos repetidos,pequena,1000,Shell Sort,2,0.002310,8405,3263,1,ok
muitos repetidos,pequena,1000,Merge Sort,2,0.003635,8478,8974,1,ok
muitos repetidos,pequena,1000,Quick Sort,2,0.001427,3155,2145,1,ok
muitos repetidos,pequena,1000,Radix Sort,2,0.002844,999,13000,1,ok
muitos repetidos,pequena,1000,Insertion Sort,3,0.065301,225352,224353,1,ok
muitos repetidos,pequena,1000,Selection Sort,3,0.099739,499500,900,1,ok
muitos repetidos,pequena,1000,Shell Sort,3,0.002337,8576,3444,1,ok
muitos repetidos,pequena,1000,Merge Sort,3,0.003667,8536,9059,1,ok
muitos repetidos,pequena,1000,Quick Sort,3,0.001659,3595,2585,1,ok
muitos repetidos,pequena,1000,Radix Sort,3,0.002860,999,13000,1,ok
muitos repetidos,media,10000,Insertion Sort,1,6.969582,22396949,22386951,1,ok
muitos repetidos,media,10000,Selection Sort,1,8.982161,49995000,9031,1,ok
muitos repetidos,media,10000,Shell Sort,1,0.028309,110270,38302,1,ok
muitos repetidos,media,10000,Merge Sort,1,0.049997,120215,128778,1,ok
muitos repetidos,media,10000,Quick Sort,1,0.013523,31193,21183,1,ok
muitos repetidos,media,10000,Radix Sort,1,0.029504,9999,130000,1,ok
muitos repetidos,media,10000,Insertion Sort,2,6.725686,22477577,22467579,1,ok
muitos repetidos,media,10000,Selection Sort,2,9.039258,49995000,8975,1,ok
muitos repetidos,media,10000,Shell Sort,2,0.027510,107681,35751,1,ok
muitos repetidos,media,10000,Merge Sort,2,0.050007,120022,128734,1,ok
muitos repetidos,media,10000,Quick Sort,2,0.014600,33636,23626,1,ok
muitos repetidos,media,10000,Radix Sort,2,0.029361,9999,130000,1,ok
muitos repetidos,media,10000,Insertion Sort,3,6.732067,22631569,22621571,1,ok
muitos repetidos,media,10000,Selection Sort,3,8.949428,49995000,8998,1,ok
muitos repetidos,media,10000,Shell Sort,3,0.027892,108712,36845,1,ok
muitos repetidos,media,10000,Merge Sort,3,0.050594,120020,128706,1,ok
muitos repetidos,media,10000,Quick Sort,3,0.013818,32066,22056,1,ok
muitos repetidos,media,10000,Radix Sort,3,0.033708,9999,130000,1,ok
muitos repetidos,grande,50000,Insertion Sort,1,169.509492,562602351,562552356,1,ok
muitos repetidos,grande,50000,Selection Sort,1,227.905963,1249975000,45091,1,ok
muitos repetidos,grande,50000,Shell Sort,1,0.161502,623560,185530,1,ok
muitos repetidos,grande,50000,Merge Sort,1,0.289105,709918,738110,1,ok
muitos repetidos,grande,50000,Quick Sort,1,0.067496,155228,105218,1,ok
muitos repetidos,grande,50000,Radix Sort,1,0.166804,49999,650000,1,ok
